,index,MLS,address,Property_info,area_sqft,bed_num,bath_num,asking_price,price_change,listing_entered,seller_info
271,11, R2821660,20825 43 AVENUE,House,2926,5,3,1850000,,2023-10-04 00:00:00,RE/MAX Treeland Realty
272,12, R2817172,7363 202A STREET,House,3415,7,5,1669000,2023-09-19 00:00:00,2023-10-03 00:00:00,Homelife Benchmark Titus Realty
273,13, R2821109,20334 98A AVENUE,House,3806,7,5,1775000,,2023-10-03 00:00:00,eXp Realty (Branch)
274,14, R2821242,4851 206 STREET,House,1678,4,3,1322000,,2023-10-03 00:00:00,Coldwell Banker Universe Realty
275,15, R2808678,24258 16 AVENUE,HousewithAcreage,5320,7,4,2399303,2023-08-23 00:00:00,2023-10-03 00:00:00,Planet Group Realty Inc.Nationwide Realty Corp.
276,16, R2820637,22157 44A AVENUE,House,4431,6,5,2795000,,2023-09-30 00:00:00,Momentum Realty Inc.
277,17, R2820358,123 SPRINGFIELD DRIVE,House,1766,5,4,1049900,,2023-09-29 00:00:00,RE/MAX Aldercenter Realty
278,18, R2810010,20411 86 AVE,UnauthorizedSuite,2095,4,4,1299800,2023-08-28 00:00:00,2023-09-28 00:00:00,88West Realty
279,19, R2820047,19659 74 AVENUE,OtherSuite,2485,5,5,1349900,,2023-09-27 00:00:00,Century 21 AAA Realty Inc.
280,0, R2819820,25845 60 AVENUE,HousewithAcreage,3944,7,6,2599000,,2023-09-27 00:00:00,TRG The Residential Group Realty
281,1, R2819624,20815 34A AVENUE,House,3388,4,4,2274285,,2023-09-26 00:00:00,Qualico Realty
282,2, R2819593,20845 34A AVENUE,House,4249,5,5,2360000,,2023-09-26 00:00:00,Qualico Realty
283,3, R2819374,21044 78A AVENUE,House,2990,4,4,1688000,,2023-09-26 00:00:00,Sincere Real Estate Services
284,4, R2818920,3645 203 STREET,House,1728,3,2,1349900,,2023-09-25 00:00:00,RE/MAX Treeland Realty
285,5, R2818749,# 20 24455 61 AVENUE,House,4563,4,5,2590000,,2023-09-25 00:00:00,LeHomes Realty Premier
286,6, R2810081,# 96 7947 209 STREET,Townhouse,1897,4,4,1100000,2023-08-28 00:00:00,2023-09-25 00:00:00,Sutton Group - 1st West Realty
287,7, R2815199,19914 68 AVENUE,House,2177,5,3,1375000,2023-09-13 00:00:00,2023-09-22 00:00:00,Rexara Realty Inc.
288,8, R2817491,26138 56 AVENUE,HousewithAcreage,6230,7,5,2999888,,2023-09-22 00:00:00,B.C. Farm & Ranch Realty Corp.
289,9, R2818558,20527 GRADE CRESCENT,House,5445,8,7,2698000,,2023-09-22 00:00:00,"Angell, Hasman & Associates Realty Ltd."
290,10, R2787133,5255 199A STREET,House,1458,3,2,1489000,2023-06-12 00:00:00,2023-09-22 00:00:00,RE/MAX Treeland Realty
291,11, R2818136,4918 198B STREET,House,1296,3,0,1199000,,2023-09-21 00:00:00,Coldwell Banker Universe Realty
292,12, R2816728,23646 16 AVENUE,HousewithAcreage,1476,4,3,2495000,,2023-09-21 00:00:00,eXp Realty (Branch)
293,13, R2804676,20225 40 AVENUE,House,4238,5,4,1474777,2023-08-10 00:00:00,2023-09-21 00:00:00,Sutton Group-West Coast Realty (Surrey/120)
294,14, R2817615,8194 197 STREET,HousewithAcreage,2762,3,3,2960000,,2023-09-20 00:00:00,Royal LePage - Wolstencroft
295,15, R2809971,19955 48 AVENUE,House,2497,5,3,1499000,2023-08-29 00:00:00,2023-09-19 00:00:00,Royal LePage - Wolstencroft
296,16, R2816319,7521 205A STREET,House,4443,6,8,2049000,,2023-09-18 00:00:00,RE/MAX Dream Home Realty
297,17, R2816671,27239 29A AVENUE,House,1052,3,1,1688000,,2023-09-18 00:00:00,RE/MAX Blueprint Realty
298,18, R2816339,7505 205A STREET,House,3962,6,6,1849000,,2023-09-18 00:00:00,RE/MAX Dream Home Realty
299,19, R2816267,21613 44A AVENUE,House,1751,3,2,1288000,,2023-09-15 00:00:00,Team 3000 Realty Ltd.
300,0, R2816130,24260 46A AVENUE,House,2794,4,3,2648888,,2023-09-15 00:00:00,RE/MAX Treeland Realty
301,1, R2815815,7509 205A STREET,House,3492,6,6,1749000,,2023-09-15 00:00:00,RE/MAX Dream Home Realty
302,2, R2815799,26484 32 AVENUE,House,1990,4,3,1099000,,2023-09-15 00:00:00,Royal LePage Global Force Realty
303,3, R2815961,21182 80 AVENUE,House,2640,5,5,1488888,,2023-09-15 00:00:00,Sutton Group-West Coast Realty
304,4, R2815784,# 605 19953 76 AVENUE,Apartment,1232,3,2,1175900,,2023-09-14 00:00:00,Homelife Benchmark Realty (Langley) Corp.
305,5, R2814426,5004 203A STREET,House,3127,7,5,1550000,,2023-09-13 00:00:00,Century 21 Coastal Realty Ltd.
306,6, R2815113,3213 270 STREET,House,1714,4,3,1399900,,2023-09-13 00:00:00,RE/MAX Treeland Realty
307,7, R2815117,7243 199 STREET,House,3343,6,5,1799000,,2023-09-13 00:00:00,Jovi Realty Inc.
308,8, R2815249,26275 24 AVENUE,HousewithAcreage,3176,4,4,2999900,,2023-09-13 00:00:00,Westmont Realty Inc.
309,9, R2815356,24045 65 AVENUE,HousewithAcreage,2492,4,3,1998000,,2023-09-13 00:00:00,RE/MAX Treeland Realty
310,10, R2814669,1914 232 STREET,HousewithAcreage,6176,8,7,2990000,,2023-09-12 00:00:00,eXp Realty (Branch)
311,11, R2812951,4216 240 STREET,HousewithAcreage,950,3,1,2225000,,2023-09-11 00:00:00,eXp Realty (Branch)
312,12, R2814263,20173 48 AVENUE,House,2183,4,2,1549000,,2023-09-11 00:00:00,Keller Williams Realty VanCentral
313,13, R2795857,21708 50 AVENUE,House,7356,11,7,2398000,2023-07-06 00:00:00,2023-09-11 00:00:00,RE/MAX Treeland Realty
314,14, R2789809,26230 84 AVENUE,HousewithAcreage,2241,3,2,1875000,2023-06-22 00:00:00,2023-09-08 00:00:00,eXp Realty (Branch)
315,15, R2813289,25204 64 AVENUE,HousewithAcreage,2738,5,4,1999000,,2023-09-08 00:00:00,RE/MAX Treeland Realty
316,16, R2796010,100 238 STREET,HousewithAcreage,1567,3,2,2699000,2023-07-08 00:00:00,2023-09-08 00:00:00,B.C. Farm & Ranch Realty Corp.
317,17, R2801342,# 10 20451 84 AVENUE,Townhouse,1729,4,4,1050000,2023-07-26 00:00:00,2023-09-06 00:00:00,Emily Oh Realty
318,18, R2812688,20063 28 AVENUE,House,1800,3,3,1749800,,2023-09-06 00:00:00,Oneflatfee.ca
319,19, R2811182,25760 82 AVENUE,HousewithAcreage,4474,4,4,2599000,,2023-09-01 00:00:00,Sotheby's International Realty Canada
320,0, R2811192,8042 197 STREET,House,2276,3,3,2650000,,2023-09-01 00:00:00,Interlink Realty
321,1, R2810132,19984 44 AVENUE,House,1903,4,3,1449000,,2023-08-31 00:00:00,YPA Your Property Agent
322,2, R2810655,# 11 20763 76 AVENUE,Townhouse,2092,4,4,1250000,,2023-08-30 00:00:00,eXp Realty
323,3, R2810016,20133 27 AVENUE,House,5768,8,9,2649000,,2023-08-30 00:00:00,Century 21 Coastal Realty Ltd.
324,4, R2810058,9308 204A STREET,House,4341,5,5,2998600,,2023-08-29 00:00:00,Royal LePage - Wolstencroft
325,5, R2799464,27054 35A AVENUE,House,3413,7,4,1549900,2023-07-19 00:00:00,2023-08-29 00:00:00,Real Broker B.C. Ltd.
326,6, R2809906,2731 201 STREET,House,5566,9,9,2599000,,2023-08-28 00:00:00,Planet Group Realty Inc.
327,7, R2809157,6949 197 STREET,House,3788,6,4,1730000,,2023-08-23 00:00:00,Luxmore Realty
328,8, R2796107,20119 43A AVENUE,House,2852,4,3,1498800,2023-07-07 00:00:00,2023-08-23 00:00:00,Homeland Realty
329,9, R2808426,3248 198 STREET,House,5637,8,9,2649000,,2023-08-22 00:00:00,Sutton Premier Realty
330,10, R2808423,2728 201 STREET,House,5881,9,9,2599000,,2023-08-22 00:00:00,Planet Group Realty Inc.
331,11, R2792308,20403 86 AVENUE,3LevelSplit,2243,4,4,1439500,2023-06-26 00:00:00,2023-08-22 00:00:00,Nationwide Realty Corp.
332,12, R2808514,# 130 20820 87 AVENUE,Townhouse,2333,4,4,1068000,,2023-08-21 00:00:00,Royal LePage Little Oak Realty
333,13, R2807956,19814 34A AVENUE,House,1743,3,2,1549000,,2023-08-18 00:00:00,Century 21 Coastal Realty Ltd.
334,14, R2806412,4570 208 STREET,House,2253,4,3,2448800,,2023-08-16 00:00:00,Sutton Premier Realty
335,15, R2806408,4580 208 STREET,House,2724,5,3,1998000,,2023-08-16 00:00:00,Sutton Premier Realty
336,16, R2807214,4560 208 STREET,House,2296,5,2,2448800,,2023-08-16 00:00:00,Century 21 Supreme Realty Inc.
337,17, R2807267,20668 40 AVENUE,House,3420,8,6,1549000,,2023-08-16 00:00:00,Stonehaus Realty Corp.
338,18, R2783300,5279 199A STREET,House,1124,3,2,1489000,2023-05-31 00:00:00,2023-08-16 00:00:00,Century 21 Coastal Realty Ltd.
339,19, R2807041,24954 56 AVENUE,House,1615,2,2,1399000,,2023-08-15 00:00:00,Century 21 AAA Realty Inc.
340,0, R2806677,20091 28 AVENUE,House,1120,2,1,2100000,,2023-08-14 00:00:00,Century 21 Coastal Realty Ltd.
341,1, R2805746,20126 27A AVENUE,House,5946,9,9,2589000,,2023-08-14 00:00:00,Planet Group Realty Inc.
342,2, R2806317,26963 18 AVENUE,HousewithAcreage,2840,4,3,1988880,,2023-08-11 00:00:00,Royal LePage Brent Roberts Realty
343,3, R2806176,26657 FRASER HIGHWAY,House,2610,6,2,2999900,,2023-08-11 00:00:00,Homelife Advantage Realty (Central Valley) Ltd.
344,4, R2806124,20178 8 AVENUE,HousewithAcreage,2367,4,2,2199000,,2023-08-11 00:00:00,Century 21 Coastal Realty Ltd.
345,5, R2794968,21609 44A AVENUE,House,2028,4,2,1199000,2023-07-06 00:00:00,2023-08-11 00:00:00,Homelife Benchmark Realty (Langley) Corp.
346,6, R2806038,19783 54A AVENUE,House,1143,4,1,1499999,,2023-08-10 00:00:00,eXp Realty (Branch)eXp Realty (Branch)Stonehaus Realty Corp.
347,7, R2805921,19976 49 AVENUE,House,1802,4,2,1498000,,2023-08-10 00:00:00,RE/MAX Treeland Realty
348,8, R2805243,2712 201 STREET,House,5861,8,8,2899000,,2023-08-10 00:00:00,Macdonald Realty (Delta)
349,9, R2804724,5415 203 STREET,House,896,1,1,2149999,,2023-08-10 00:00:00,Sutton Premier Realty
350,10, R2800130,20236 52 AVENUE,House,1903,5,2,1550000,,2023-08-02 00:00:00,Macdonald Realty (Langley)
351,11, R2803404,19706 48 AVENUE,House,2688,6,4,1599900,,2023-08-01 00:00:00,RE/MAX City Realty
352,12, R2803053,19742 54A AVENUE,House,1970,4,2,1499999,,2023-07-31 00:00:00,eXp Realty (Branch)eXp Realty (Branch)Stonehaus Realty Corp.
353,13, R2803014,19751 54A AVENUE,House,2013,5,2,1499999,,2023-07-31 00:00:00,eXp Realty (Branch)eXp Realty (Branch)Stonehaus Realty Corp.
354,14, R2802750,LOT 8 215B STREET,House,4985,5,6,2845000,,2023-07-31 00:00:00,Momentum Realty Inc.
355,15, R2802754,LOT 9 215B STREET,House,5020,5,6,2895000,,2023-07-29 00:00:00,Momentum Realty Inc.
356,16, R2800844,19848 54 AVENUE,House,1270,3,1,1999000,,2023-07-28 00:00:00,Royal LePage Northstar Realty (S. Surrey)
357,17, R2802326,20994 OLD YALE ROAD,House,2501,3,2,1668800,,2023-07-27 00:00:00,Royal LePage - Wolstencroft
358,18, R2802234,# 105 5398 207 STREET,Townhouse,1268,3,3,1038000,,2023-07-27 00:00:00,Luxmore Realty
359,19, R2801504,20134 27A AVENUE,House,5874,9,9,2599000,,2023-07-25 00:00:00,Planet Group Realty Inc.
360,0, R2801369,7227 199A STREET,House,3519,6,6,1699000,,2023-07-25 00:00:00,Royal Pacific Realty (Kingsway) Ltd.
361,1, R2800550,19868 54 AVENUE,House,1650,0,1,1999000,,2023-07-24 00:00:00,Royal LePage Northstar Realty (S. Surrey)
362,2, R2774571,# 21 20763 76 AVENUE,Townhouse,1662,4,4,1030000,2023-05-04 00:00:00,2023-07-22 00:00:00,eXp Realty
363,3, R2800514,19850 54 AVENUE,House,1650,0,1,1999000,,2023-07-21 00:00:00,Royal LePage Northstar Realty (S. Surrey)
364,4, R2800642,# 101 5398 207 STREET,Townhouse,1378,3,3,1100000,,2023-07-21 00:00:00,Luxmore Realty
365,5, R2800299,4538 SOUTHRIDGE CRESCENT,House,2255,4,3,1599000,,2023-07-20 00:00:00,RE/MAX Treeland Realty
366,6, R2800027,8355 264 STREET,HousewithAcreage,2337,3,3,2299000,,2023-07-19 00:00:00,YPA Your Property Agent
367,7, R2799335,20207 52 AVENUE,2Storey,1301,3,2,1499000,,2023-07-19 00:00:00,Century 21 Coastal Realty Ltd.
368,8, R2799433,5424 207 STREET,House,1688,4,2,1950000,,2023-07-18 00:00:00,Royal Pacific Realty Corp.
369,9, R2799186,2723 201 STREET,House,5748,8,9,2599000,,2023-07-18 00:00:00,Sutton Group Seafair Realty
370,10, R2798069,3050 228 STREET,HousewithAcreage,2260,6,5,2988880,,2023-07-13 00:00:00,RE/MAX All Points Realty
371,11, R2797019,21050 72 AVENUE,House,4369,7,7,2099999,,2023-07-12 00:00:00,Keller Williams Ocean Realty
372,12, R2797356,2552 200 STREET,House,1118,2,1,2999000,,2023-07-12 00:00:00,Royal LePage Northstar Realty (S. Surrey)
373,13, R2706251,# LOT 14 19681 31A AVENUE,House,5493,8,8,2849999,2022-07-04 00:00:00,2023-06-30 00:00:00,Team 3000 Realty Ltd.
374,14, R2793602,4655 SADDLEHORN CRESCENT,HousewithAcreage,2502,3,3,2650000,,2023-06-29 00:00:00,Royal LePage - Wolstencroft
375,15, R2793166,2263 WILLOUGHBY WAY,House,1886,5,4,1199000,,2023-06-28 00:00:00,Interlink Realty
376,16, R2790884,20522 76B AVENUE,House,3033,6,5,1918000,,2023-06-24 00:00:00,Royal LePage Northstar Realty (S. Surrey)
377,17, R2790887,20513 76B AVENUE,House,3309,6,5,1958000,,2023-06-23 00:00:00,Royal LePage Northstar Realty (S. Surrey)
378,18, R2791140,6788 GLOVER ROAD,House,2950,6,2,1399000,,2023-06-22 00:00:00,RE/MAX Truepeak Realty
379,19, R2789079,4891 205A STREET,House,2120,6,3,1299000,,2023-06-15 00:00:00,Century 21 Coastal Realty Ltd.
380,0, R2785391,20993 80 AVENUE,FreeholdNonStrata,2245,4,4,1388800,2023-06-06 00:00:00,2023-06-15 00:00:00,Grand Central Realty
381,1, R2785725,19907 53 AVENUE,House,1300,3,1,1498888,,2023-06-09 00:00:00,YPA Your Property Agent
382,2, R2786505,20214 52 AVENUE,House,1238,2,1,1700000,,2023-06-09 00:00:00,Century 21 Coastal Realty Ltd.
383,3, R2787004,4964 207B STREET,BasementEntry,1754,3,1,1099000,,2023-06-09 00:00:00,Homelife Benchmark Realty (Langley) Corp.
384,4, R2784549,5340 199A STREET,House,2480,6,4,1895000,,2023-06-07 00:00:00,Century 21 Coastal Realty Ltd.
385,5, R2785696,5328 199 STREET,House,1152,3,1,1498888,,2023-06-07 00:00:00,Century 21 Coastal Realty Ltd.
386,6, R2784946,20290 52 AVENUE,House,2527,5,4,1725000,,2023-06-06 00:00:00,Century 21 Coastal Realty Ltd.
387,7, R2785324,5318 199 STREET,House,1127,3,1,1500000,,2023-06-06 00:00:00,RE/MAX City Realty
388,8, R2785451,# 20 20155 84 AVENUE,Townhouse,1497,4,4,1199000,,2023-06-06 00:00:00,Royal Pacific Tri-Cities Realty
389,9, R2784699,20218 52 AVENUE,House,1340,3,2,1749000,,2023-06-05 00:00:00,Century 21 Coastal Realty Ltd.
390,10, R2783719,20220 52 AVENUE,House,2003,3,2,1749000,,2023-06-02 00:00:00,Century 21 Coastal Realty Ltd.
391,11, R2783938,20951 45A AVENUE,House,2100,4,2,1999999,,2023-06-02 00:00:00,Royal LePage Fairstone Realty.
392,12, R2783253,19964 53 AVENUE,House,1498,3,2,1799000,,2023-05-31 00:00:00,Century 21 Coastal Realty Ltd.
393,13, R2782831,27337 32 AVENUE,House,4142,6,5,1499000,,2023-05-30 00:00:00,Planet Group Realty Inc.
394,14, R2782316,23850 FRASER HIGHWAY,House,2219,4,2,1588000,,2023-05-29 00:00:00,Century 21 Coastal Realty Ltd.
395,15, R2782122,4861 200 STREET,House,1500,3,2,2500000,,2023-05-29 00:00:00,Royal LePage - Wolstencroft
396,16, R2781693,20224 52 AVENUE,House,1577,3,1,2498000,,2023-05-27 00:00:00,Century 21 Coastal Realty Ltd.
397,17, R2780164,4875 200 STREET,House,1880,4,3,1600000,,2023-05-25 00:00:00,Royal LePage - Wolstencroft
398,18, R2780271,4851 200 STREET,House,1813,4,3,2100000,,2023-05-25 00:00:00,Royal LePage - Wolstencroft
399,19, R2780742,19625 75A AVENUE,House,3532,5,5,2300000,,2023-05-24 00:00:00,Momentum Realty Inc.
400,0, R2775200,# 2 8567 204 STREET,Townhouse,3363,4,5,1399000,2023-05-08 00:00:00,2023-05-19 00:00:00,LeHomes Realty Premier
401,1, R2778938,4945 224 STREET,House,1400,3,2,1799999,,2023-05-19 00:00:00,eXp Realty (Branch)
402,2, R2777827,20088 44 AVENUE,House,2062,4,3,1675000,,2023-05-16 00:00:00,Royal LePage - Wolstencroft
403,3, R2778146,# 3 19667 55A AVENUE,Townhouse,2120,4,4,1049900,,2023-05-16 00:00:00,Oakwyn Realty Ltd.
404,4, R2777020,3340 196A STREET,House,1744,3,3,1350000,,2023-05-12 00:00:00,Sutton Group-West Coast Realty (Surrey/24)
405,5, R2775646,20523 76A AVENUE,House,3033,6,5,1918000,,2023-05-10 00:00:00,Royal LePage Northstar Realty (S. Surrey)
406,6, R2769999,6892 GLOVER ROAD,House,900,4,1,1999000,,2023-04-25 00:00:00,RE/MAX Performance Realty
407,7, R2770002,6884 GLOVER ROAD,House,1626,7,2,1999000,,2023-04-25 00:00:00,RE/MAX Performance Realty
408,8, R2699630,2792 272A STREET,House,2418,6,3,1449000,2022-06-14 00:00:00,2023-03-29 00:00:00,Coldwell Banker Universe Realty
409,9, R2748741,5435 203 STREET,House,562,1,0,2700000,,2023-01-26 00:00:00,Oakwyn Realty Ltd.
410,10, R2748550,5445 203 STREET,House,1891,3,1,2700000,,2023-01-25 00:00:00,Oakwyn Realty Ltd.
